"Region","TimePeriod","PopulationValue"
"Southern Grampians",2014,16255
"Southern Grampians",2015,16162
"Southern Grampians",2016,16123
"Southern Grampians",2017,16207
"Southern Grampians",2018,16291
"Southern Grampians",2019,16378
"Southern Grampians",2020,16506
"Southern Grampians",2021,16492
"Southern Grampians",2022,16401
"Southern Grampians",2023,16470
"Livingstone",2013,35279
"Livingstone",2014,36063
"Livingstone",2015,36579
"Livingstone",2016,36950
"Livingstone",2017,37452
"Livingstone",2018,37950
"Livingstone",2019,38548
"Livingstone",2020,39206
"Livingstone",2021,39877
"Livingstone",2022,40901
"Livingstone",2023,41906
"Wanneroo",2013,176627
"Wanneroo",2014,182385
"Wanneroo",2015,188278
"Wanneroo",2016,194779
"Wanneroo",2017,199194
"Wanneroo",2018,203526
"Wanneroo",2019,208263
"Wanneroo",2020,212823
"Wanneroo",2021,216422
"Wanneroo",2022,221257
"Wanneroo",2023,229438
"Warrumbungle Shire",2013,9743
"Warrumbungle Shire",2014,9689
"Warrumbungle Shire",2015,9622
"Warrumbungle Shire",2016,9562
"Warrumbungle Shire",2017,9489
"Warrumbungle Shire",2018,9454
"Warrumbungle Shire",2019,9377
"Warrumbungle Shire",2020,9358
"Warrumbungle Shire",2021,9256
"Warrumbungle Shire",2022,9245
"Warrumbungle Shire",2023,9228
"Kentish",2013,6334
"Kentish",2014,6317
"Kentish",2015,6286
"Kentish",2016,6263
"Kentish",2017,6314
"Kentish",2018,6386
"Kentish",2019,6461
"Kentish",2020,6583
"Kentish",2021,6775
"Kentish",2022,6805
"Kentish",2023,6831
"Hindmarsh",2013,5852
"Hindmarsh",2014,5844
"Hindmarsh",2015,5808
"Hindmarsh",2016,5784
"Hindmarsh",2017,5728
"Hindmarsh",2018,5691
"Hindmarsh",2019,5668
"Hindmarsh",2020,5668
"Hindmarsh",2021,5656
"Hindmarsh",2022,5601
"Hindmarsh",2023,5559
"Murrumbidgee",2013,3920
"Murrumbidgee",2014,3900
"Murrumbidgee",2015,3893
"Murrumbidgee",2016,3929
"Murrumbidgee",2017,3854
"Murrumbidgee",2018,3809
"Murrumbidgee",2019,3753
"Murrumbidgee",2020,3625
"Murrumbidgee",2021,3564
"Murrumbidgee",2022,3566
"Murrumbidgee",2023,3607
"Glenelg",2013,19797
"Glenelg",2014,19755
"Glenelg",2015,19722
"Glenelg",2016,19759
"Glenelg",2017,19802
"Glenelg",2018,19893
"Glenelg",2019,19992
"Glenelg",2020,20055
"Glenelg",2021,20058
"Glenelg",2022,20049
"Glenelg",2023,20022
"Adelaide",2013,22143
"Adelaide",2014,22624
"Adelaide",2015,23085
"Adelaide",2016,23552
"Adelaide",2017,24188
"Adelaide",2018,24688
"Adelaide",2019,25376
"Adelaide",2020,25964
"Adelaide",2021,25522
"Adelaide",2022,26183
"Adelaide",2023,27901
"Albury",2013,50338
"Albury",2014,50990
"Albury",2015,51486
"Albury",2016,52171
"Albury",2017,53056
"Albury",2018,53922
"Albury",2019,54657
"Albury",2020,55466
"Albury",2021,56067
"Albury",2022,56665
"Albury",2023,57517
"Mount Barker",2013,31580
"Mount Barker",2014,32386
"Mount Barker",2015,33187
"Mount Barker",2016,33897
"Mount Barker",2017,34735
"Mount Barker",2018,35637
"Mount Barker",2019,36842
"Mount Barker",2020,38206
"Mount Barker",2021,39632
"Mount Barker",2022,41083
"Mount Barker",2023,42297
"Irwin",2013,3749
"Irwin",2014,3702
"Irwin",2015,3662
"Irwin",2016,3604
"Irwin",2017,3636
"Irwin",2018,3627
"Irwin",2019,3670
"Irwin",2020,3730
"Irwin",2021,3769
"Irwin",2022,3795
"Irwin",2023,3842
"Cowra",2013,12511
"Cowra",2014,12556
"Cowra",2015,12604
"Cowra",2016,12659
"Cowra",2017,12697
"Cowra",2018,12726
"Cowra",2019,12732
"Cowra",2020,12748
"Cowra",2021,12759
"Cowra",2022,12703
"Cowra",2023,12659
"McKinlay",2013,992
"McKinlay",2014,943
"McKinlay",2015,876
"McKinlay",2016,816
"McKinlay",2017,811
"McKinlay",2018,817
"McKinlay",2019,822
"McKinlay",2020,828
"McKinlay",2021,838
"McKinlay",2022,846
"McKinlay",2023,849
"Napranum",2013,922
"Napranum",2014,939
"Napranum",2015,959
"Napranum",2016,989
"Napranum",2017,973
"Napranum",2018,958
"Napranum",2019,943
"Napranum",2020,923
"Napranum",2021,906
"Napranum",2022,906
"Napranum",2023,924
"Golden Plains",2013,20362
"Golden Plains",2014,20899
"Golden Plains",2015,21388
"Golden Plains",2016,22016
"Golden Plains",2017,22613
"Golden Plains",2018,23191
"Golden Plains",2019,23810
"Golden Plains",2020,24366
"Golden Plains",2021,24892
"Golden Plains",2022,25321
"Golden Plains",2023,25818
"Woollahra",2013,56909
"Woollahra",2014,57253
"Woollahra",2015,57513
"Woollahra",2016,57744
"Woollahra",2017,57750
"Woollahra",2018,57370
"Woollahra",2019,56892
"Woollahra",2020,55951
"Woollahra",2021,53910
"Woollahra",2022,53525
"Woollahra",2023,54660
"Peterborough",2013,1728
"Peterborough",2014,1717
"Peterborough",2015,1706
"Peterborough",2016,1712
"Peterborough",2017,1723
"Peterborough",2018,1705
"Peterborough",2019,1696
"Peterborough",2020,1681
"Peterborough",2021,1668
"Peterborough",2022,1672
"Peterborough",2023,1683
"Southern Midlands",2013,6183
"Southern Midlands",2014,6139
"Southern Midlands",2015,6096
"Southern Midlands",2016,6083
"Southern Midlands",2017,6129
"Southern Midlands",2018,6257
"Southern Midlands",2019,6465
"Southern Midlands",2020,6639
"Southern Midlands",2021,6834
"Southern Midlands",2022,6887
"Southern Midlands",2023,6912
"Serpentine-Jarrahdale",2013,22011
"Serpentine-Jarrahdale",2014,23592
"Serpentine-Jarrahdale",2015,25499
"Serpentine-Jarrahdale",2016,27578
"Serpentine-Jarrahdale",2017,29002
"Serpentine-Jarrahdale",2018,30159
"Serpentine-Jarrahdale",2019,31410
"Serpentine-Jarrahdale",2020,32437
"Serpentine-Jarrahdale",2021,33349
"Serpentine-Jarrahdale",2022,34795
"Serpentine-Jarrahdale",2023,36739
"Sorell",2013,13736
"Sorell",2014,13981
"Sorell",2015,14200
"Sorell",2016,14482
"Sorell",2017,14929
"Sorell",2018,15433
"Sorell",2019,15952
"Sorell",2020,16471
"Sorell",2021,16963
"Sorell",2022,17429
"Sorell",2023,17635
"Gnowangerup",2013,1294
"Gnowangerup",2014,1275
"Gnowangerup",2015,1255
"Gnowangerup",2016,1237
"Gnowangerup",2017,1237
"Gnowangerup",2018,1245
"Gnowangerup",2019,1241
"Gnowangerup",2020,1250
"Gnowangerup",2021,1260
"Gnowangerup",2022,1264
"Gnowangerup",2023,1269
"Liverpool Plains",2013,7812
"Liverpool Plains",2014,7831
"Liverpool Plains",2015,7837
"Liverpool Plains",2016,7847
"Liverpool Plains",2017,7829
"Liverpool Plains",2018,7806
"Liverpool Plains",2019,7780
"Liverpool Plains",2020,7702
"Liverpool Plains",2021,7608
"Liverpool Plains",2022,7659
"Liverpool Plains",2023,7667
"Boulia",2013,481
"Boulia",2014,473
"Boulia",2015,459
"Boulia",2016,436
"Boulia",2017,435
"Boulia",2018,447
"Boulia",2019,454
"Boulia",2020,458
"Boulia",2021,470
"Boulia",2022,474
"Boulia",2023,478
"Gladstone",2013,62158
"Gladstone",2014,63367
"Gladstone",2015,63697
"Gladstone",2016,63017
"Gladstone",2017,62859
"Gladstone",2018,63077
"Gladstone",2019,63495
"Gladstone",2020,63890
"Gladstone",2021,64275
"Gladstone",2022,65302
"Gladstone",2023,66835
"Dumbleyung",2013,653
"Dumbleyung",2014,653
"Dumbleyung",2015,663
"Dumbleyung",2016,684
"Dumbleyung",2017,684
"Dumbleyung",2018,688
"Dumbleyung",2019,691
"Dumbleyung",2020,699
"Dumbleyung",2021,698
"Dumbleyung",2022,693
"Dumbleyung",2023,701
"Meander Valley",2013,19540
"Meander Valley",2014,19519
"Meander Valley",2015,19502
"Meander Valley",2016,19553
"Meander Valley",2017,19802
"Meander Valley",2018,20037
"Meander Valley",2019,20286
"Meander Valley",2020,20603
"Meander Valley",2021,21139
"Meander Valley",2022,21354
"Meander Valley",2023,21449
"Cabonne",2013,13473
"Cabonne",2014,13506
"Cabonne",2015,13511
"Cabonne",2016,13577
"Cabonne",2017,13683
"Cabonne",2018,13729
"Cabonne",2019,13773
"Cabonne",2020,13814
"Cabonne",2021,13767
"Cabonne",2022,13843
"Cabonne",2023,13880
"Victor Harbor",2013,14525
"Victor Harbor",2014,14729
"Victor Harbor",2015,14886
"Victor Harbor",2016,15011
"Victor Harbor",2017,15204
"Victor Harbor",2018,15419
"Victor Harbor",2019,15708
"Victor Harbor",2020,16068
"Victor Harbor",2021,16429
"Victor Harbor",2022,16721
"Victor Harbor",2023,16869
"Camden",2013,64095
"Camden",2014,68645
"Camden",2015,74103
"Camden",2016,80268
"Camden",2017,88297
"Camden",2018,96023
"Camden",2019,104706
"Camden",2020,112451
"Camden",2021,120083
"Camden",2022,127808
"Camden",2023,134811
"Kyogle",2013,9345
"Kyogle",2014,9288
"Kyogle",2015,9197
"Kyogle",2016,9114
"Kyogle",2017,9171
"Kyogle",2018,9208
"Kyogle",2019,9248
"Kyogle",2020,9304
"Kyogle",2021,9346
"Kyogle",2022,9452
"Kyogle",2023,9468
"Griffith",2013,25705
"Griffith",2014,25942
"Griffith",2015,26171
"Griffith",2016,26356
"Griffith",2017,26653
"Griffith",2018,26896
"Griffith",2019,27102
"Griffith",2020,27249
"Griffith",2021,27195
"Griffith",2022,27015
"Griffith",2023,27132
"Weddin",2013,3723
"Weddin",2014,3706
"Weddin",2015,3688
"Weddin",2016,3677
"Weddin",2017,3672
"Weddin",2018,3656
"Weddin",2019,3635
"Weddin",2020,3619
"Weddin",2021,3592
"Weddin",2022,3614
"Weddin",2023,3616
"Melton",2013,123936
"Melton",2014,129309
"Melton",2015,134915
"Melton",2016,141420
"Melton",2017,148711
"Melton",2018,157019
"Melton",2019,165535
"Melton",2020,173566
"Melton",2021,181346
"Melton",2022,193285
"Melton",2023,206070
"Mount Gambier",2013,26425
"Mount Gambier",2014,26710
"Mount Gambier",2015,26931
"Mount Gambier",2016,27061
"Mount Gambier",2017,27114
"Mount Gambier",2018,27242
"Mount Gambier",2019,27379
"Mount Gambier",2020,27565
"Mount Gambier",2021,27637
"Mount Gambier",2022,27744
"Mount Gambier",2023,27846
"Northern Grampians",2013,11880
"Northern Grampians",2014,11777
"Northern Grampians",2015,11644
"Northern Grampians",2016,11570
"Northern Grampians",2017,11591
"Northern Grampians",2018,11634
"Northern Grampians",2019,11707
"Northern Grampians",2020,11805
"Northern Grampians",2021,11886
"Northern Grampians",2022,11879
"Northern Grampians",2023,11879
"Western Downs",2013,33415
"Western Downs",2014,33744
"Western Downs",2015,33867
"Western Downs",2016,34049
"Western Downs",2017,34292
"Western Downs",2018,34338
"Western Downs",2019,34420
"Western Downs",2020,34390
"Western Downs",2021,34351
"Western Downs",2022,34537
"Western Downs",2023,34991
"Jerramungup",2013,1112
"Jerramungup",2014,1120
"Jerramungup",2015,1127
"Jerramungup",2016,1127
"Jerramungup",2017,1123
"Jerramungup",2018,1132
"Jerramungup",2019,1146
"Jerramungup",2020,1162
"Jerramungup",2021,1196
"Jerramungup",2022,1196
"Jerramungup",2023,1213
"Kalamunda",2013,58622
"Kalamunda",2014,59113
"Kalamunda",2015,59298
"Kalamunda",2016,59201
"Kalamunda",2017,59337
"Kalamunda",2018,59442
"Kalamunda",2019,59750
"Kalamunda",2020,60337
"Kalamunda",2021,60804
"Kalamunda",2022,61294
"Kalamunda",2023,62670
"Palmerston",2013,32972
"Palmerston",2014,34478
"Palmerston",2015,35414
"Palmerston",2016,36013
"Palmerston",2017,36797
"Palmerston",2018,37596
"Palmerston",2019,38200
"Palmerston",2020,38902
"Palmerston",2021,39530
"Palmerston",2022,40467
"Palmerston",2023,41113
"Perth",2013,24317
"Perth",2014,25257
"Perth",2015,26096
"Perth",2016,26879
"Perth",2017,27112
"Perth",2018,27433
"Perth",2019,28214
"Perth",2020,29588
"Perth",2021,29653
"Perth",2022,30580
"Perth",2023,32856
"Moreton Bay",2013,410687
"Moreton Bay",2014,419764
"Moreton Bay",2015,428994
"Moreton Bay",2016,439292
"Moreton Bay",2017,448559
"Moreton Bay",2018,458013
"Moreton Bay",2019,467314
"Moreton Bay",2020,476622
"Moreton Bay",2021,484353
"Moreton Bay",2022,496772
"Moreton Bay",2023,510104
"Bathurst Regional",2013,40727
"Bathurst Regional",2014,41157
"Bathurst Regional",2015,41694
"Bathurst Regional",2016,42244
"Bathurst Regional",2017,42583
"Bathurst Regional",2018,42882
"Bathurst Regional",2019,43207
"Bathurst Regional",2020,43444
"Bathurst Regional",2021,43674
"Bathurst Regional",2022,44110
"Bathurst Regional",2023,44612
"Baw Baw",2013,45627
"Baw Baw",2014,46644
"Baw Baw",2015,47837
"Baw Baw",2016,49296
"Baw Baw",2017,50883
"Baw Baw",2018,52447
"Baw Baw",2019,54047
"Baw Baw",2020,55753
"Baw Baw",2021,57618
"Baw Baw",2022,59277
"Baw Baw",2023,60644
"Wujal Wujal",2013,289
"Wujal Wujal",2014,291
"Wujal Wujal",2015,287
"Wujal Wujal",2016,292
"Wujal Wujal",2017,292
"Wujal Wujal",2018,290
"Wujal Wujal",2019,289
"Wujal Wujal",2020,287
"Wujal Wujal",2021,284
"Wujal Wujal",2022,286
"Wujal Wujal",2023,293
"Bayside (NSW)",2013,151309
"Bayside (NSW)",2014,154980
"Bayside (NSW)",2015,159222
"Bayside (NSW)",2016,164534
"Bayside (NSW)",2017,168779
"Bayside (NSW)",2018,171377
"Bayside (NSW)",2019,173913
"Bayside (NSW)",2020,176184
"Bayside (NSW)",2021,176229
"Bayside (NSW)",2022,177992
"Bayside (NSW)",2023,182987
"Port Augusta",2013,14496
"Port Augusta",2014,14498
"Port Augusta",2015,14442
"Port Augusta",2016,14359
"Port Augusta",2017,14361
"Port Augusta",2018,14380
"Port Augusta",2019,14384
"Port Augusta",2020,14389
"Port Augusta",2021,14448
"Port Augusta",2022,14449
"Port Augusta",2023,14420
"Kalgoorlie-Boulder",2013,33267
"Kalgoorlie-Boulder",2014,32498
"Kalgoorlie-Boulder",2015,31748
"Kalgoorlie-Boulder",2016,30840
"Kalgoorlie-Boulder",2017,30908
"Kalgoorlie-Boulder",2018,30750
"Kalgoorlie-Boulder",2019,30636
"Kalgoorlie-Boulder",2020,30590
"Kalgoorlie-Boulder",2021,30670
"Kalgoorlie-Boulder",2022,30756
"Kalgoorlie-Boulder",2023,30775
"Derwent Valley",2013,9977
"Derwent Valley",2014,10013
"Derwent Valley",2015,10048
"Derwent Valley",2016,10087
"Derwent Valley",2017,10233
"Derwent Valley",2018,10481
"Derwent Valley",2019,10729
"Derwent Valley",2020,10926
"Derwent Valley",2021,11106
"Derwent Valley",2022,11235
"Derwent Valley",2023,11341
"Murrindindi",2013,13563
"Murrindindi",2014,13687
"Murrindindi",2015,13848
"Murrindindi",2016,14052
"Murrindindi",2017,14290
"Murrindindi",2018,14561
"Murrindindi",2019,14737
"Murrindindi",2020,14872
"Murrindindi",2021,15139
"Murrindindi",2022,15353
"Murrindindi",2023,15482
"Unley",2013,38552
"Unley",2014,38695
"Unley",2015,38823
"Unley",2016,38939
"Unley",2017,39078
"Unley",2018,39187
"Unley",2019,39322
"Unley",2020,39465
"Unley",2021,39061
"Unley",2022,39092
"Unley",2023,39929
"Newcastle",2013,157477
"Newcastle",2014,158683
"Newcastle",2015,159680
"Newcastle",2016,160707
"Newcastle",2017,162796
"Newcastle",2018,164730
"Newcastle",2019,166510
"Newcastle",2020,168242
"Newcastle",2021,169433
"Newcastle",2022,171535
"Newcastle",2023,174294
"Southern Downs",2013,35501
"Southern Downs",2014,35580
"Southern Downs",2015,35566
"Southern Downs",2016,35638
"Southern Downs",2017,35899
"Southern Downs",2018,36118
"Southern Downs",2019,36239
"Southern Downs",2020,36393
"Southern Downs",2021,36637
"Southern Downs",2022,36991
"Southern Downs",2023,37444
"Gingin",2013,5267
"Gingin",2014,5356
"Gingin",2015,5351
"Gingin",2016,5325
"Gingin",2017,5349
"Gingin",2018,5384
"Gingin",2019,5470
"Gingin",2020,5611
"Gingin",2021,5751
"Gingin",2022,5896
"Gingin",2023,6064
"Georges River",2013,146604
"Georges River",2014,148882
"Georges River",2015,151069
"Georges River",2016,153161
"Georges River",2017,155276
"Georges River",2018,156225
"Georges River",2019,156510
"Georges River",2020,155919
"Georges River",2021,152800
"Georges River",2022,153267
"Georges River",2023,158051
"Moorabool",2013,30410
"Moorabool",2014,31066
"Moorabool",2015,31748
"Moorabool",2016,32672
"Moorabool",2017,33689
"Moorabool",2018,34662
"Moorabool",2019,35793
"Moorabool",2020,36944
"Moorabool",2021,37910
"Moorabool",2022,38526
"Moorabool",2023,39092
"Northern Beaches",2013,257020
"Northern Beaches",2014,259723
"Northern Beaches",2015,262593
"Northern Beaches",2016,265468
"Northern Beaches",2017,267483
"Northern Beaches",2018,268390
"Northern Beaches",2019,268935
"Northern Beaches",2020,268164
"Northern Beaches",2021,264567
"Northern Beaches",2022,263340
"Northern Beaches",2023,267921
"Mornington Peninsula",2013,154001
"Mornington Peninsula",2014,156500
"Mornington Peninsula",2015,158831
"Mornington Peninsula",2016,161528
"Mornington Peninsula",2017,164188
"Mornington Peninsula",2018,166564
"Mornington Peninsula",2019,168594
"Mornington Peninsula",2020,170186
"Mornington Peninsula",2021,170440
"Mornington Peninsula",2022,169733
"Mornington Peninsula",2023,170243
"Dorset",2013,7010
"Dorset",2014,6920
"Dorset",2015,6816
"Dorset",2016,6724
"Dorset",2017,6736
"Dorset",2018,6739
"Dorset",2019,6779
"Dorset",2020,6863
"Dorset",2021,6983
"Dorset",2022,7022
"Dorset",2023,7001
"Hinchinbrook",2013,11613
"Hinchinbrook",2014,11412
"Hinchinbrook",2015,11181
"Hinchinbrook",2016,10968
"Hinchinbrook",2017,10950
"Hinchinbrook",2018,10944
"Hinchinbrook",2019,10891
"Hinchinbrook",2020,10911
"Hinchinbrook",2021,10990
"Hinchinbrook",2022,11087
"Hinchinbrook",2023,11118
"Maranoa",2013,13515
"Maranoa",2014,13434
"Maranoa",2015,13292
"Maranoa",2016,12926
"Maranoa",2017,12927
"Maranoa",2018,12914
"Maranoa",2019,12835
"Maranoa",2020,12891
"Maranoa",2021,12957
"Maranoa",2022,13099
"Maranoa",2023,13255
"Light",2013,14440
"Light",2014,14644
"Light",2015,14890
"Light",2016,15048
"Light",2017,15305
"Light",2018,15509
"Light",2019,15608
"Light",2020,15843
"Light",2021,16083
"Light",2022,16319
"Light",2023,16616
"Esperance",2013,14422
"Esperance",2014,14624
"Esperance",2015,14734
"Esperance",2016,14527
"Esperance",2017,14450
"Esperance",2018,14342
"Esperance",2019,14329
"Esperance",2020,14325
"Esperance",2021,14396
"Esperance",2022,14501
"Esperance",2023,14547
"Unincorp.  Other Territories",2013,374
"Unincorp.  Other Territories",2014,361
"Unincorp.  Other Territories",2015,367
"Unincorp.  Other Territories",2016,2159
"Unincorp.  Other Territories",2017,2243
"Unincorp.  Other Territories",2018,2324
"Unincorp.  Other Territories",2019,2382
"Unincorp.  Other Territories",2020,2437
"Unincorp.  Other Territories",2021,2530
"Unincorp.  Other Territories",2022,2518
"Unincorp.  Other Territories",2023,2516
"Fairfield",2013,200098
"Fairfield",2014,201788
"Fairfield",2015,203490
"Fairfield",2016,205675
"Fairfield",2017,209107
"Fairfield",2018,211392
"Fairfield",2019,212825
"Fairfield",2020,212148
"Fairfield",2021,209066
"Fairfield",2022,206830
"Fairfield",2023,209742
"Katanning",2013,4403
"Katanning",2014,4389
"Katanning",2015,4308
"Katanning",2016,4200
"Katanning",2017,4180
"Katanning",2018,4162
"Katanning",2019,4161
"Katanning",2020,4205
"Katanning",2021,4227
"Katanning",2022,4237
"Katanning",2023,4290
"Doomadgee",2013,1400
"Doomadgee",2014,1422
"Doomadgee",2015,1454
"Doomadgee",2016,1475
"Doomadgee",2017,1495
"Doomadgee",2018,1486
"Doomadgee",2019,1479
"Doomadgee",2020,1459
"Doomadgee",2021,1434
"Doomadgee",2022,1442
"Doomadgee",2023,1461
"Circular Head",2013,8249
"Circular Head",2014,8204
"Circular Head",2015,8142
"Circular Head",2016,8104
"Circular Head",2017,8107
"Circular Head",2018,8118
"Circular Head",2019,8140
"Circular Head",2020,8207
"Circular Head",2021,8325
"Circular Head",2022,8368
"Circular Head",2023,8352
"Central Coast (NSW)",2013,327745
"Central Coast (NSW)",2014,330377
"Central Coast (NSW)",2015,333264
"Central Coast (NSW)",2016,336611
"Central Coast (NSW)",2017,340140
"Central Coast (NSW)",2018,343074
"Central Coast (NSW)",2019,345695
"Central Coast (NSW)",2020,347734
"Central Coast (NSW)",2021,348493
"Central Coast (NSW)",2022,349158
"Central Coast (NSW)",2023,351934
"Port Pirie",2013,17793
"Port Pirie",2014,17870
"Port Pirie",2015,17826
"Port Pirie",2016,17767
"Port Pirie",2017,17749
"Port Pirie",2018,17726
"Port Pirie",2019,17736
"Port Pirie",2020,17742
"Port Pirie",2021,17747
"Port Pirie",2022,17616
"Port Pirie",2023,17602
"East Pilbara",2013,12570
"East Pilbara",2014,12149
"East Pilbara",2015,11529
"East Pilbara",2016,10953
"East Pilbara",2017,10888
"East Pilbara",2018,10754
"East Pilbara",2019,10637
"East Pilbara",2020,10533
"East Pilbara",2021,10378
"East Pilbara",2022,10311
"East Pilbara",2023,10401
"Bayswater",2013,69083
"Bayswater",2014,69256
"Bayswater",2015,69136
"Bayswater",2016,68791
"Bayswater",2017,69043
"Bayswater",2018,69267
"Bayswater",2019,70051
"Bayswater",2020,71277
"Bayswater",2021,71774
"Bayswater",2022,72242
"Bayswater",2023,74283
"Swan",2013,123643
"Swan",2014,128032
"Swan",2015,132127
"Swan",2016,136679
"Swan",2017,140449
"Swan",2018,144202
"Swan",2019,148672
"Swan",2020,153844
"Swan",2021,158689
"Swan",2022,163948
"Swan",2023,171588
"Three Springs",2013,638
"Three Springs",2014,627
"Three Springs",2015,619
"Three Springs",2016,608
"Three Springs",2017,615
"Three Springs",2018,601
"Three Springs",2019,589
"Three Springs",2020,582
"Three Springs",2021,586
"Three Springs",2022,587
"Three Springs",2023,593
"Burnside",2013,44457
"Burnside",2014,44678
"Burnside",2015,44938
"Burnside",2016,45216
"Burnside",2017,45591
"Burnside",2018,45882
"Burnside",2019,46118
"Burnside",2020,46415
"Burnside",2021,46425
"Burnside",2022,46710
"Burnside",2023,47444
"Lake Macquarie",2013,198953
"Lake Macquarie",2014,200249
"Lake Macquarie",2015,201240
"Lake Macquarie",2016,202332
"Lake Macquarie",2017,204512
"Lake Macquarie",2018,206975
"Lake Macquarie",2019,209433
"Lake Macquarie",2020,211954
"Lake Macquarie",2021,214054
"Lake Macquarie",2022,216594
"Lake Macquarie",2023,219249
"Campbelltown (NSW)",2013,154346
"Campbelltown (NSW)",2014,156289
"Campbelltown (NSW)",2015,158586
"Campbelltown (NSW)",2016,161562
"Campbelltown (NSW)",2017,165143
"Campbelltown (NSW)",2018,168825
"Campbelltown (NSW)",2019,172286
"Campbelltown (NSW)",2020,175725
"Campbelltown (NSW)",2021,177778
"Campbelltown (NSW)",2022,180377
"Campbelltown (NSW)",2023,184784
"Tumby Bay",2013,2640
"Tumby Bay",2014,2651
"Tumby Bay",2015,2670
"Tumby Bay",2016,2675
"Tumby Bay",2017,2708
"Tumby Bay",2018,2731
"Tumby Bay",2019,2770
"Tumby Bay",2020,2832
"Tumby Bay",2021,2875
"Tumby Bay",2022,2892
"Tumby Bay",2023,2906
"Coolgardie",2013,4196
"Coolgardie",2014,4046
"Coolgardie",2015,3904
"Coolgardie",2016,3695
"Coolgardie",2017,3669
"Coolgardie",2018,3591
"Coolgardie",2019,3542
"Coolgardie",2020,3546
"Coolgardie",2021,3638
"Coolgardie",2022,3638
"Coolgardie",2023,3686
"Mosman Park",2013,9217
"Mosman Park",2014,9202
"Mosman Park",2015,9188
"Mosman Park",2016,9167
"Mosman Park",2017,9199
"Mosman Park",2018,9224
"Mosman Park",2019,9332
"Mosman Park",2020,9394
"Mosman Park",2021,9478
"Mosman Park",2022,9621
"Mosman Park",2023,10032
"Shoalhaven",2013,98097
"Shoalhaven",2014,99292
"Shoalhaven",2015,100550
"Shoalhaven",2016,101942
"Shoalhaven",2017,103122
"Shoalhaven",2018,104489
"Shoalhaven",2019,105781
"Shoalhaven",2020,107246
"Shoalhaven",2021,108550
"Shoalhaven",2022,109604
"Shoalhaven",2023,109895
"Albany",2013,36318
"Albany",2014,36919
"Albany",2015,37206
"Albany",2016,37285
"Albany",2017,37879
"Albany",2018,38470
"Albany",2019,39054
"Albany",2020,39629
"Albany",2021,40105
"Albany",2022,40434
"Albany",2023,40949
"Orange",2013,40167
"Orange",2014,40619
"Orange",2015,40837
"Orange",2016,41210
"Orange",2017,41800
"Orange",2018,42522
"Orange",2019,43115
"Orange",2020,43383
"Orange",2021,43750
"Orange",2022,43964
"Orange",2023,44244
"Latrobe (Vic.)",2013,74124
"Latrobe (Vic.)",2014,74134
"Latrobe (Vic.)",2015,74266
"Latrobe (Vic.)",2016,74622
"Latrobe (Vic.)",2017,75088
"Latrobe (Vic.)",2018,75586
"Latrobe (Vic.)",2019,76121
"Latrobe (Vic.)",2020,76714
"Latrobe (Vic.)",2021,77117
"Latrobe (Vic.)",2022,77705
"Latrobe (Vic.)",2023,78154
"Noosa",2013,52360
"Noosa",2014,52988
"Noosa",2015,53497
"Noosa",2016,53922
"Noosa",2017,54688
"Noosa",2018,55511
"Noosa",2019,56045
"Noosa",2020,56662
"Noosa",2021,56874
"Noosa",2022,57336
"Noosa",2023,58367
"Palm Island",2013,2529
"Palm Island",2014,2527
"Palm Island",2015,2550
"Palm Island",2016,2581
"Palm Island",2017,2465
"Palm Island",2018,2369
"Palm Island",2019,2274
"Palm Island",2020,2205
"Palm Island",2021,2180
"Palm Island",2022,2193
"Palm Island",2023,2214
"Nedlands",2013,22665
"Nedlands",2014,22686
"Nedlands",2015,22435
"Nedlands",2016,22108
"Nedlands",2017,22391
"Nedlands",2018,22564
"Nedlands",2019,22745
"Nedlands",2020,23075
"Nedlands",2021,22924
"Nedlands",2022,23018
"Nedlands",2023,24127
"Ballina",2013,41510
"Ballina",2014,41881
"Ballina",2015,42336
"Ballina",2016,42993
"Ballina",2017,43652
"Ballina",2018,44385
"Ballina",2019,44997
"Ballina",2020,45663
"Ballina",2021,46196
"Ballina",2022,46849
"Ballina",2023,47279
"Uralla",2013,6253
"Uralla",2014,6238
"Uralla",2015,6194
"Uralla",2016,6147
"Uralla",2017,6154
"Uralla",2018,6144
"Uralla",2019,6119
"Uralla",2020,6056
"Uralla",2021,5992
"Uralla",2022,5984
"Uralla",2023,6047
"Claremont",2013,10220
"Claremont",2014,10357
"Claremont",2015,10515
"Claremont",2016,10632
"Claremont",2017,10693
"Claremont",2018,10858
"Claremont",2019,11055
"Claremont",2020,11501
"Claremont",2021,11643
"Claremont",2022,11735
"Claremont",2023,12178
"West Wimmera",2013,4124
"West Wimmera",2014,4038
"West Wimmera",2015,3974
"West Wimmera",2016,3937
"West Wimmera",2017,3952
"West Wimmera",2018,3964
"West Wimmera",2019,3979
"West Wimmera",2020,3994
"West Wimmera",2021,3978
"West Wimmera",2022,3943
"West Wimmera",2023,3933
"Playford",2013,85232
"Playford",2014,87380
"Playford",2015,88980
"Playford",2016,90553
"Playford",2017,92534
"Playford",2018,94352
"Playford",2019,96220
"Playford",2020,98458
"Playford",2021,100556
"Playford",2022,103401
"Playford",2023,107069
"Plantagenet",2013,5172
"Plantagenet",2014,5151
"Plantagenet",2015,5130
"Plantagenet",2016,5103
"Plantagenet",2017,5188
"Plantagenet",2018,5307
